step,train/loss,val/bpb,core_metric,total_training_time
0,10.398521423339844,,,0.0
100,4.521132059322324,,,559.2747344970703
200,3.826172805005335,,,1179.0262517929077
250,,1.3979807272275648,,1481.9426853656769
300,3.551616797057618,,,1797.0890650749207
400,3.4219312604336576,,,2413.267287015915
500,3.258231848109061,,,3028.704514980316
600,3.2310104395987116,,,3643.7755258083344
700,3.1450206555103306,,,4258.912593603134
750,,1.2277993090026194,,4560.53476858139
800,3.0282427833203185,,,4873.9915516376495
900,2.887339655693798,,,5488.2929520606995
1000,2.6562799492706164,,,6102.5114579200745
1100,2.492127898134132,,,6716.95641708374
1200,2.518835816315292,,,7330.792519807816
1250,,1.287178981271922,,7631.4326095581055
1300,2.3617864988241326,,,7944.420551300049
1400,2.4292560747147927,,,8558.234190702438
1500,2.376430915850881,,,9171.675523042679
1600,3.1795527873569642,,,9785.785730361938
1700,3.1090677229303365,,,10399.577906608582
1750,,1.1542726262923835,,10700.337138175964
1800,3.048767693267548,,,11013.43663239479
1900,3.0055770719369534,,,11627.1303358078
2000,,1.1409801347147484,,12234.976884365082
2100,2.959879467283218,,,12854.262506961823
2200,2.9310556200114,,,13467.573182821274
2250,,1.1345634433720932,,13768.04783987999
2300,2.883955255039098,,,14080.744818210602
2400,2.91231016778695,,,14694.475400924683
2500,2.8585482283423964,,,15307.725187778473
2600,2.8662458809282576,,,15921.90376996994
2700,2.862980116534567,,,16535.508962869644
2750,,1.1210855604893462,,16836.070138692856
2800,2.883980429036899,,,17148.801602125168
2900,2.9163172896744403,,,17761.841775417328
3000,2.830918513554213,,,18375.191792964935
3100,2.8491642857980244,,,18988.765699148178
3200,2.8669653857079593,,,19601.800377368927
3250,,1.1033926434265233,,19902.354017734528
3300,2.872624187881028,,,20214.965955257416
3400,2.7901287368813636,,,20828.062465190887
3500,2.736085143443325,,,21441.729107618332
3600,2.8384358709080666,,,22055.297554969788
3700,2.7817832777945553,,,22668.276557207108
3750,,1.098671340041603,,22968.843932390213
3800,2.8039403813836605,,,23281.702655553818
3900,2.742668621136592,,,23895.42423081398
4000,,1.0980724835157014,,24503.02724456787
4100,2.7512099845438795,,,25122.227909088135
4200,2.782227113584044,,,25735.194669485092
4250,,1.0905763048970394,,26035.760675907135
4300,2.759057167739072,,,26348.610320329666
4400,2.8595970480584385,,,26961.77020716667
4500,2.7875827776254383,,,27575.00079679489
4600,2.9571677070729696,,,28188.05265522003
4700,2.8294889472020603,,,28800.865723848343
4750,,1.0798605141311644,,29101.33655309677
4800,2.79626044117658,,,29413.96647787094
4900,2.8008270351764724,,,30027.341814756393
5000,,1.0820867264334937,,30634.50389480591
5100,2.719959013457993,,,31310.7629404068
5200,2.773439207734103,,,31866.826546907425
5250,,1.0818655857337456,,32222.068717956543
5300,2.7303163394605687,,,32534.319250822067
5400,2.75858863190235,,,33093.21035528183
5500,,1.0773966225202556,,33700.90244603157
5600,2.7778026351468985,,,34370.70644068718
5700,2.7753195651523614,,,34982.62373590469
5750,,1.0772852577393897,,35282.537843465805
5800,2.7236938021731794,,,35594.74581503868
5900,2.7163380069001484,,,36206.89958024025
6000,,1.074312496967663,,36813.01656484604
6100,2.715045817855347,,,37430.82577252388
6200,2.735377672540566,,,38042.734225034714
6250,,1.0738811931600551,,38342.78587126732
6300,2.811454989383251,,,38654.92983174324
6400,2.7358021697032733,,,39266.88718700409
6500,3.012302332111792,,,39878.74894595146
6600,2.3471627905340124,,,40489.86443567276
6700,2.0791215995651418,,,41101.191428899765
6750,,1.123814286504558,,41400.71819138527
6800,2.2312646332943245,,,41712.47976565361
6900,2.3242948242400185,,,42324.20539665222
7000,2.16962168496314,,,42935.58792614937
7100,2.125015153641538,,,43546.87264037132
7200,2.1905240914062203,,,44158.1399834156
7250,,1.1617196946315456,,44457.71482133865
7300,2.1921294122129815,,,44769.63258600235
7400,2.409567084011865,,,45381.34389400482
7500,2.775811787819464,,,45992.96891903877
7600,2.8646848504415696,,,46659.74466443062
7700,2.8465473509523687,,,47270.64730334282
7750,,1.0587877265237606,,47570.08835887909
7800,2.760003937978895,,,47881.94348073006
7900,2.751207777191098,,,48493.180931568146
8000,2.7773159399896645,,,49105.17138719559
8100,2.770505565704619,,,49716.10071659088
8200,2.6819442302487393,,,50327.20249605179
8250,,1.0419645669550803,,50626.88849115372
8300,2.7530955014045166,,,50938.70530796051
8400,2.795655710551083,,,51550.21863436699
8500,2.6326689291490974,,,52161.73650598526
8600,2.6698847665330434,,,52772.76592350006
8700,2.7641575395838904,,,53384.400262117386
8750,,1.0385124031902357,,53683.88637089729
8800,2.812014880836235,,,53995.50661802292
8900,2.6745969591386105,,,54606.366795539856
9000,2.642688930932568,,,55217.09244227409
9100,2.706685557713371,,,55828.16340470314
9200,2.733849647988033,,,56439.19999361038
9250,,1.0351027053729587,,56738.6575884819
9300,2.65330482804143,,,57050.268305301666
9400,2.663767600065224,,,57661.53915166855
9500,2.744985772985639,,,58272.597165584564
9600,2.7195658644280227,,,58883.78781747818
9700,2.7401214831739673,,,59494.822387456894
9750,,1.03123360977936,,59794.23080921173
9800,2.7428913902316037,,,60105.99930071831
9900,2.874793630478574,,,60717.2152659893
10000,2.58903260467791,,,61328.199674129486
10100,2.564738380875197,,,61938.8533205986
10200,2.6256396636864676,,,62549.777047395706
10250,,1.0726788579642992,,62849.07071733475
10300,2.5540264443551997,,,63160.58636164665
10400,2.575980498370852,,,63771.449612379074
10500,2.4730098153059794,,,64382.206351041794
10600,2.6585369650486776,,,65053.63875365257
10700,2.707155864597054,,,65665.52428817749
10750,,1.0273110706463053,,65965.37071919441
10800,2.7362818298147373,,,66277.60327887535
10900,2.7208376668663243,,,66889.88276124
11000,2.7361514308124657,,,67501.97321295738
11100,2.452134896164949,,,68114.14693021774
11200,2.389029036611634,,,68725.93539476395
11250,,1.0368119597625525,,69025.70809054375
11300,2.2196089428277475,,,69338.03261590004
11400,2.1350950247618,,,69950.37634181976
11500,2.242741598686133,,,70562.91243839264
11600,2.2337543525490426,,,71174.79774284363
11700,2.259935581425371,,,71786.93758630753
11750,,1.0486091877714145,,72086.77656149864
11800,2.244853435823572,,,72399.08759713173
11900,2.6619637079505,,,73010.98663139343
12000,2.6691375312891283,,,73622.8936252594
12100,2.7412936193470476,,,74235.21233892441
12200,2.6283924928764786,,,74848.04896402359
12250,,1.0114111843322229,,75148.14497280121
12300,2.6436706011999926,,,75460.6397087574
12400,2.7279217663441946,,,76073.18797707558
12500,,1.009796322788668,,76679.54644727707
12600,2.6701518489794553,,,77298.5511727333
12700,2.620014304452022,,,77911.55496788025
12750,,1.0072942984901476,,78211.95231556892
12800,2.7074259254114286,,,78524.5446434021
12900,2.673197269813908,,,79136.69298291206
13000,2.603053073702382,,,79749.11464762688
13100,2.673143009748584,,,80361.11211013794
13200,2.478611549423149,,,80972.91789197922
