step,train/loss,val/bpb,core_metric,total_training_time
3000,2.6304497974443803,,,24117.427671909332
3100,2.7701359907652083,,,24729.326454639435
3200,2.7566212283998066,,,25341.40646982193
3250,,0.9560997425608634,,25641.289921283722
3300,2.681153513844291,,,25953.85915875435
3400,2.785795755634824,,,26566.255162000656
3500,2.635082381355102,,,27178.695347070694
3600,2.734324172917239,,,27791.486481904984
3700,2.6932068813879617,,,28404.15955233574
3750,,0.9491276494423273,,28704.3891787529
3800,2.6197050744856973,,,29016.71774816513
3900,2.6570657920205374,,,29628.950963497162
4000,,,0.1185134782265795,
4100,2.3950347911076917,,,30853.490800857544
4200,2.7293642475947886,,,31465.803793668747
4250,,0.9304519127313255,,31765.94647693634
4300,2.6259521067064937,,,32078.30528306961
4400,2.6237755066406083,,,32690.53894019127
4500,2.624756825562612,,,33302.61285376549
4600,2.733229410723549,,,33914.65852499008
4700,2.5876209566311705,,,34526.91856479645
4750,,0.9254480666441279,,34826.80625796318
4800,2.472269924516178,,,35138.96833705902
4900,2.6422147889770784,,,35750.6558740139
5000,,0.9217683400029817,,36356.18695521355
5100,2.452370861879442,,,36973.73178267479
5200,2.677887583649055,,,37585.67140960693
5250,,0.9274693304305194,,37885.70377063751
5300,2.523218570862612,,,38197.89756774902
5400,2.6768821567659913,,,38810.11233854294
5500,2.6801851765064706,,,39422.130376815796
5600,2.6260334649727013,,,40033.668441057205
5700,2.4424382044913893,,,40645.14682006836
5750,,0.9189813869294601,,40944.862698078156
5800,2.657404673871844,,,41257.03572201729
5900,2.5614678799693786,,,41869.05462217331
6000,,0.9182373981278539,,42475.171735048294
6100,2.5312462339752044,,,43093.098648548126
6200,2.673302250933756,,,43705.06821870804
6250,,0.9147532357424787,,44005.001760959625
6300,2.7785586385175027,,,44317.314541339874
6400,2.6152271940783076,,,44929.572275877
6500,2.6542265393828304,,,45541.69318795204
6600,2.600634756597478,,,46153.9877948761
6700,2.520746162139338,,,46766.32988834381
6750,,0.9017504867366766,,47066.29908442497
6800,2.4643393120886925,,,47378.46229505539
6900,2.6837339407331964,,,47990.62457847595
7000,2.7128622792944244,,,48602.55138492584
7100,2.6576489778002923,,,49214.65084815025
7200,2.6052863107356155,,,49826.418531894684
7250,,0.9063530037847054,,50126.374307632446
